AirportID,Name,City,Country,IATA,ICAO,Start_Latitude,Start_Longitude,Altitude,TimeZone,Type,Final_Longitude,Final_Latitude
9025,Bijie Feixiong Airport,Bijie,China,BFJ,ZUBJ,27.267065999999996,105.47209699999999,4751,8.0,airport,114.208,30.7838
9107,Yichun Mingyueshan Airport,Yichun,China,YIC,ZSYC,27.8025,114.3062,430,8.0,airport,114.208,30.7838
9308,Lüliang Airport,Lvliang,China,LLV,ZBLL,37.68333300000001,111.142778,0,8.0,airport,114.208,30.7838
9310,Daocheng Yading Airport,Daocheng,China,DCY,ZUDC,29.323056,100.053333,14472,8.0,airport,114.208,30.7838
9311,Gannan Xiahe Airport,Xiahe city,China,GXH,ZLXH,34.8105,102.6447,10510,8.0,airport,114.208,30.7838
9770,Zhangye Ganzhou Airport,Zhangye,China,YZY,ZLZY,38.8018989563,100.67500305200001,5280,8.0,airport,114.208,30.7838
9844,Anshan Air Base,Anshan,China,AOG,ZYAS,41.105301000000004,122.853996,0,8.0,airport,114.208,30.7838
10712,Airport South Station,Guangzhou,China,,,23.388,113.2974,35,8.0,airport,114.208,30.7838
10800,Dongji Aiport,Fuyuan,China,FYJ,ZYFY,48.199494,134.366447,0,8.0,airport,114.208,30.7838
10939,Shennongjia Hongping Airport,Shennongjia,China,HPG,ZHSN,31.625999999999998,110.34,8365,8.0,airport,114.208,30.7838
10941,Arxan Yi'ershi Airport,Arxan,China,YIE,ZBES,47.3106,119.9117,2925,8.0,airport,114.208,30.7838
10942,Hengyang Nanyue Airport,Hengyang,China,HNY,ZGHY,26.9053,112.627998,0,8.0,airport,114.208,30.7838
10943,Hongyuan Airport,Ngawa,China,AHJ,ZUHY,32.53154,102.35224000000001,11600,8.0,airport,114.208,30.7838
11498,Alashankou Bole (Bortala) airport,Bole,China,BPL,ZWAX,44.895,82.3,1253,8.0,airport,114.208,30.7838
11714,Shaxian Airport,Sanming,China,SQJ,ZSSM,26.4263,117.8336,830,8.0,airport,114.208,30.7838
12047,Guangzhou MR Air Base,Guanghua,China,LHK,ZHGH,32.3894004821777,111.694999694824,0,,airport,114.208,30.7838
12048,Shiyan Wudangshan Airport,Shiyan,China,WDS,ZHSY,32.591667,110.90777800000001,0,,airport,114.208,30.7838
12052,Bengbu Airport,Bengbu,China,BFU,ZSBB,32.8477333333,117.320244444,100,,airport,114.208,30.7838
12054,Wuhu Air Base,Wuhu,China,WHU,ZSWU,31.3906,118.408997,0,,airport,114.208,30.7838
